1|Petrovaradin|1|Dozivi magiju!|srpski|10|1,2|1.5|1,2
2|Proljece na moje rame sljece|3|Bijelo dugme zakon!|srpski|5|1,2|3|3,4
3|Ajmo na plazu|4|Lepote omiljenog letovalista svake IT kompanije|srpski|5|2,3|3|5,6
4|Fruska gora|1|obilazak manastira|srpski|20|4,5|2|7,8
5|Palic|3|pesacenje oko jezera|srpski|30|5|5|9,10
6|Kikinda|5|dani ludaje|srpski|40|5,6|5|11
7|Zrenjanin|6|obilazak grada|srpski|20|11,12|1|13,14
8|Zlatibor|4|odmor na planini|srpski|10|6,7,8|3|6,7,8
9|Kopaonik|6|planinaranje|srpski|20|6,7,8|9|11
10|Negotin|7|obilazak|srpski|30|11,12,13|3|10,11
11|Sombor|8|jednodnevni izlet|srpski|30|1,2,3|8|1,2
12|Tara|9|planinarenje|srpski|10|17,18|4|2,3,4
13|Beograd|6|srpski|srpski|40|21,22|6|23,24
14|x|1|geth|srpski|6|4|3|3
